OrderID,CustomerID,OrderValue,OrderDate
30001,470853,3480.79,2019-11-12
30002,356837,1531.61,2019-11-12
30003,512323,1288.67,2019-11-12
30004,329295,1478.06,2019-11-12
30005,471434,3275.46,2019-11-12
30006,647650,4663.07,2019-11-12
30007,482108,2016.43,2019-11-12
30008,363716,3540.58,2019-11-12
30009,622050,2062.41,2019-11-12
30010,367842,2307.92,2019-11-12
30011,827917,1104.85,2019-11-12
30012,530402,2575.28,2019-11-12
30013,471097,2053.81,2019-11-12
30014,184077,699.51,2019-11-12
30015,104601,3766.07,2019-11-12
30016,939837,3092.6,2019-11-12
30017,241768,4499.69,2019-11-12
30018,174727,4541.43,2019-11-12
30019,517748,3593.14,2019-11-12
30020,387794,4015.46,2019-11-12
30021,190415,1108.13,2019-11-12
30022,526447,900.68,2019-11-12
30023,482795,2084.12,2019-11-12
30024,817057,1586.04,2019-11-12
30025,727994,1743.14,2019-11-12
30026,692067,2082.14,2019-11-12
30027,660728,71.32,2019-11-12
30028,150609,55.14,2019-11-12
30029,130380,4791.59,2019-11-12
30030,699538,4865.88,2019-11-12
30031,938881,4968.49,2019-11-12
30032,745085,2474.92,2019-11-12
30033,528253,1422.48,2019-11-12
30034,494403,4323.89,2019-11-12
30035,663038,4271.2,2019-11-12
30036,318824,3516.64,2019-11-12
30037,246195,3857.44,2019-11-12
30038,341701,1670.32,2019-11-12
30039,902484,1777.21,2019-11-12
30040,656087,3759.37,2019-11-12
30041,620894,2735.1,2019-11-12
30042,699663,923.25,2019-11-12
30043,720054,476.33,2019-11-12
30044,786920,387.78,2019-11-12
30045,661283,516.81,2019-11-12
30046,681428,1033.41,2019-11-12
30047,541285,1223.83,2019-11-12
30048,244673,4164.85,2019-11-12
30049,720674,1530.45,2019-11-12
30050,913066,1854.16,2019-11-12
30051,818168,937.94,2019-11-12
30052,165638,1184.7,2019-11-12
30053,114167,4110.61,2019-11-12
30054,468842,835.58,2019-11-12
30055,640419,4557.89,2019-11-12
30056,249252,2249.27,2019-11-12
30057,876280,3923.45,2019-11-12
30058,752805,4040.61,2019-11-12
30059,254807,2759.29,2019-11-12
30060,279777,2668.01,2019-11-12
30061,392431,1014.66,2019-11-12
30062,955346,1232.77,2019-11-12
30063,917575,3834.52,2019-11-12
30064,211028,1361.93,2019-11-12
30065,997173,1398.64,2019-11-12
30066,126782,821.2,2019-11-12
30067,189169,2849.21,2019-11-12
30068,158536,3544.69,2019-11-12
30069,118915,3814.23,2019-11-12
30070,725272,264.39,2019-11-12
30071,116024,4181.34,2019-11-12
30072,432738,4011.74,2019-11-12
30073,642864,792.03,2019-11-12
30074,320978,4673.82,2019-11-12
30075,224808,215.84,2019-11-12
30076,991900,2061.21,2019-11-12
30077,663783,2253.01,2019-11-12
30078,953134,1696.94,2019-11-12
30079,480441,4633.9,2019-11-12
30080,858326,4853.43,2019-11-12
30081,540186,1213.45,2019-11-12
30082,948217,3934.45,2019-11-12
30083,250842,4755.9,2019-11-12
30084,893956,4262.56,2019-11-12
