OrderID,CustomerID,OrderValue,OrderDate
30001,846944,830.25,2019-11-14
30002,744762,1577.2,2019-11-14
30003,552244,3198.89,2019-11-14
30004,921391,3486.68,2019-11-14
30005,289171,243.68,2019-11-14
30006,318162,4642.37,2019-11-14
30007,432270,3450.24,2019-11-14
30008,651070,4636.94,2019-11-14
30009,552521,4713.78,2019-11-14
30010,799451,4953.37,2019-11-14
30011,907714,4618.01,2019-11-14
30012,632413,3827.75,2019-11-14
30013,767575,2396.14,2019-11-14
30014,172712,3326.55,2019-11-14
30015,398009,1073.42,2019-11-14
30016,242680,3803.3,2019-11-14
30017,904553,3119.12,2019-11-14
30018,608433,725.9,2019-11-14
30019,411470,2056.1,2019-11-14
30020,916442,3018.63,2019-11-14
30021,142233,2810.49,2019-11-14
30022,629174,4711.13,2019-11-14
30023,377259,1718.47,2019-11-14
30024,777526,4565.74,2019-11-14
30025,152538,4423.1,2019-11-14
30026,931021,3435.47,2019-11-14
30027,709974,2581.44,2019-11-14
30028,960576,2307.22,2019-11-14
30029,102149,4083.52,2019-11-14
30030,406154,852.83,2019-11-14
30031,839097,2041.62,2019-11-14
30032,654845,1751.46,2019-11-14
30033,106433,4944.45,2019-11-14
30034,490544,2285.5,2019-11-14
30035,261593,707.48,2019-11-14
30036,713700,4184.22,2019-11-14
30037,712977,3165.93,2019-11-14
30038,176064,4868.19,2019-11-14
30039,479564,542.61,2019-11-14
30040,477210,1707.01,2019-11-14
30041,773032,4243.46,2019-11-14
30042,351347,648.79,2019-11-14
30043,244869,3100.96,2019-11-14
30044,649919,1101.82,2019-11-14
30045,880093,1750.21,2019-11-14
30046,435733,4086.74,2019-11-14
30047,292213,681.04,2019-11-14
30048,502181,3628.74,2019-11-14
30049,775844,3174.27,2019-11-14
30050,199675,1621.47,2019-11-14
30051,925152,1762.17,2019-11-14
30052,789582,4352.71,2019-11-14
30053,180848,1465.85,2019-11-14
30054,311347,4901.88,2019-11-14
30055,323512,4275.65,2019-11-14
30056,401032,646.99,2019-11-14
30057,146741,3568.37,2019-11-14
30058,959927,2158.85,2019-11-14
30059,519245,510.69,2019-11-14
30060,604350,1288.59,2019-11-14
30061,253682,4332.96,2019-11-14
30062,422769,1757.06,2019-11-14
30063,879135,3632.47,2019-11-14
30064,798039,4315.46,2019-11-14
30065,267656,2652.46,2019-11-14
30066,107789,3311.45,2019-11-14
30067,868967,4557.46,2019-11-14
30068,434386,122.97,2019-11-14
30069,360144,1327.59,2019-11-14
30070,202865,1759.23,2019-11-14
30071,693210,2454.91,2019-11-14
30072,707608,1092.83,2019-11-14
30073,124969,4439.42,2019-11-14
30074,110813,2452.62,2019-11-14
30075,123345,118.23,2019-11-14
30076,770472,3570.88,2019-11-14
30077,743372,3923.6,2019-11-14
30078,935554,1005.81,2019-11-14
30079,754462,2793.66,2019-11-14
30080,998447,2141.39,2019-11-14
30081,885685,1123.71,2019-11-14
30082,409589,2213.4,2019-11-14
30083,897004,1063.7,2019-11-14
30084,116066,4993.3,2019-11-14
30085,274897,2033.16,2019-11-14
30086,445394,4457.46,2019-11-14
30087,803516,1903.71,2019-11-14
30088,200501,1086.68,2019-11-14
30089,649808,4047.58,2019-11-14
30090,962216,866.48,2019-11-14
30091,212691,192.48,2019-11-14
30092,666671,1595.23,2019-11-14
30093,901214,472.53,2019-11-14
30094,768027,2638.32,2019-11-14
30095,190304,1343.58,2019-11-14
30096,973106,418.35,2019-11-14
30097,780370,4740.26,2019-11-14
30098,197648,1975.47,2019-11-14
30099,584649,3120.99,2019-11-14
30100,698483,3772.53,2019-11-14
30101,697779,458.37,2019-11-14
30102,496369,1109.96,2019-11-14
30103,281919,2318.05,2019-11-14
30104,565260,3000.71,2019-11-14
30105,267444,4882.02,2019-11-14
30106,308704,2768.73,2019-11-14
30107,543365,1195.56,2019-11-14
30108,859528,2256.03,2019-11-14
30109,171773,584.7,2019-11-14
30110,954360,4138.15,2019-11-14
30111,757518,1010.46,2019-11-14
30112,577805,3808.28,2019-11-14
30113,791648,2249.71,2019-11-14
30114,964232,4839.41,2019-11-14
30115,877797,2910.02,2019-11-14
30116,424518,1842.33,2019-11-14
30117,291910,151.23,2019-11-14
30118,812160,817.82,2019-11-14
30119,495497,3127.85,2019-11-14
30120,806492,1954.94,2019-11-14
30121,797581,1611.78,2019-11-14
30122,989695,959.69,2019-11-14
30123,688791,157.82,2019-11-14
30124,754640,370.76,2019-11-14
30125,953005,1888.09,2019-11-14
30126,568063,4213.6,2019-11-14
30127,378439,4987.88,2019-11-14
30128,278522,2331.21,2019-11-14
30129,448758,625.24,2019-11-14
30130,646885,86.09,2019-11-14
30131,455835,3601.58,2019-11-14
30132,630118,849.17,2019-11-14
30133,236001,2058.36,2019-11-14
30134,752653,3618.42,2019-11-14
30135,944683,2998.57,2019-11-14
30136,115680,988.32,2019-11-14
30137,527921,3151.43,2019-11-14
30138,998722,4204.14,2019-11-14
30139,589563,3715.4,2019-11-14
30140,314562,4428.39,2019-11-14
30141,954901,1321.28,2019-11-14
30142,767339,1162.12,2019-11-14
30143,289532,1611.44,2019-11-14
30144,168053,4671.5,2019-11-14
30145,267457,3783.1,2019-11-14
30146,855376,2012.54,2019-11-14
30147,703105,2526.32,2019-11-14
30148,615187,1660.16,2019-11-14
30149,989631,436.21,2019-11-14
30150,300835,4369.81,2019-11-14
30151,523702,2528.68,2019-11-14
30152,164250,4716.81,2019-11-14
30153,472652,3871.71,2019-11-14
30154,899189,2914.6,2019-11-14
30155,658584,2594.36,2019-11-14
30156,243374,1961.56,2019-11-14
30157,340807,2434.54,2019-11-14
30158,254756,1866.53,2019-11-14
30159,188768,1416.7,2019-11-14
30160,902419,3016.75,2019-11-14
30161,443075,1219.63,2019-11-14
30162,920360,2578.94,2019-11-14
30163,257367,489.18,2019-11-14
30164,799454,2096.45,2019-11-14
30165,636466,2890.8,2019-11-14
30166,952743,2183.51,2019-11-14
